ID,Post,Label
150,CDC Announces Plan to Detain Americans for Forced Vaccinations?,FALSE
151,Obamas at a White House Ball,FALSE
152,Did Scientists Recreate a Tyrannosaurus Rex Embryo from Chicken DNA?,FALSE
153,Is This a Photograph of a Playground from 1900?,TRUE
154,Has Dr. Zelenko Successfully Treated 669 Coronavirus Patients?,Mixture
155,Is Kansas City Ordering Churchgoers To Register with the Government?,FALSE
156,Will Red or Blue Masks Be Required By 'National Mask Code'?,FALSE
157,Did a Bill Pass That Lets US Kids Get Vaccinated Without Parental Consent?,Mixture
158,Eiffel Tower Set Ablaze by Terrorists,FALSE
159,Pride of Lions Kills Five Poachers and Injures Three Others in Zimbabwe,FALSE
160,Did Brazil's President Bolsonaro Imply COVID-19 Vaccine Turns People Into Crocodiles?,TRUE
161,Did Trump Say COVID-19 Deaths Wouldn't Hurt Anyone as Much as Himself?,FALSE
162,Hillary Clinton Used Hand Signals to Rig Debate?,FALSE
163,Teen Kills Younger Brother Because He Thought He Deleted His Pokemon,FALSE
164,President Obama Is Giving Mexico $75 Million to Build a Southern Border Wall,Mixture
165,Is Seasonal Flu More Deadly Than COVID-19?,FALSE
166,Creflo Dollar Endorses Donald Trump,FALSE
167,Did Trump Say in February 2020 That COVID-19 Is Deadlier Than the Flu?,TRUE
168,Muslim Woman Buys Soda with Food Stamps to Resell?,Mixture
169,Was Obama Responsible for N95 Masks Shortage?,Mixture
170,Idaho Mother Sentenced to Prison After Multiple Citations for Breastfeeding in Public,FALSE
171,Tim Kaine Yells at His Daughter,FALSE
172,Did Second COVID-19 Stimulus Include Foreign Aid?,Mixture
173,"Did Biden Claim 6,114 Military COVID-19 Deaths When There Were 7?",TRUE
174,Fear the Grim Arabic Tote Bag,TRUE
175,Iranian Negotiator Discusses Nuclear Deal,FALSE
176,Did DOJ Propose Rollback of Defendants' Rights During Pandemic?,TRUE
177,Did a Californian Die Hours After Receiving COVID-19 Vaccine?,Mixture
178,Did Biden Tweet 'We Are Not Prepared for a Pandemic' Before COVID-19?,TRUE
179,Third Apple Co-Founder Sold Share Now Worth Billions for $800,TRUE
180,Was a High School Teen Shot After Police Mistook a Saxophone for a Machine Gun?,FALSE
181,Fresno Terrorism Threat: Women in Burqas Buying Cell Phones,FALSE
182,Is Hand Sanitizer Effective After Its Expiration Date?,Mixture
183,Casey Anthony Obtains License for Home Daycare Business in Florida,FALSE
184,Open Letter to Donald Trump from Wharton School,Mixture
185,Montreal Bans Pit Bulls,Mixture
186,Did Biden Say He Would Take the COVID-19 Vaccine in Public on TV?,TRUE
187,New York Television Station Broadcasts Bizarre Warning Before Hoboken Train Crash,TRUE
188,Did CDC 'Quietly Update' COVID-19 Deaths To Say Only 6% Are Legitimate?,FALSE
189,Australian Police Targeting Pokemon Go Players,FALSE
190,Will COVID-19 No Longer Be Classified as an Epidemic?,FALSE
191,Tweet Claims Clinton to Drop Out of Presidential Race,FALSE
192,Did CDC Warn Against Traveling to Mexico Due to COVID-19?,TRUE
193,"Did Cities Close Schools, Businesses During the 1918 Pandemic?",TRUE
194,Clouds Over Geneva Show CERN Opening a Portal to a New Dimension?,FALSE
195,Black Lives Matter Protesters Beat Homeless Veteran,FALSE
196,Were Islamic Symbols Added to the White House Fence?,FALSE
197,The Strange Death of Elisa Lam,TRUE
198,Was Coronavirus in US as Early as December 2019?,Mixture
199,Video Emerges Showing Obama Flaunting Erection to Female Staffers?,Mixture
200,Did Fauci Say in 2005 Virology Journal That Hydroxychloroquine Can Treat SARS?,FALSE
201,Did CBS News Use Footage from Italy for New York COVID-19 Report?,TRUE
202,Is Oklahoma Trying To Return $2M Worth of Hydroxychloroquine?,TRUE
203,Tens of Thousands of Fraudulent Clinton Votes Found in Ohio Warehouse,FALSE
204,Did an Orangutan Start Hand-Washing During COVID-19 Pandemic?,FALSE
205,Is This Timeline of Trump's Coronavirus Responses Accurate?,Mixture
206,Did Amazon Solicit Donations to Help Pay Worker Sick Leave?,TRUE
207,Metallica Singer Celebrates a PhD in Astrophysics,FALSE
208,Black Lives Matter Co-Founder Poops on Ice Rink,FALSE
209,Was Sharia Law Established in Texas?,FALSE
210,Trump Leaks Classified Info After Intelligence Briefing,FALSE
211,Did Trump Tweet in 2009 That He Would 'Never Let Thousands of Americans Die From a Pandemic'?,FALSE
212,Was a 'Sacrifice the Weak' Sign Shown at a COVID-19 'ReOpen Tennessee' Rally?,TRUE
213,Did Antarctica Report Its First COVID-19 Cases in December 2020?,TRUE
214,Can You Buy COVID-19 Vaccines on the Dark Web?,Mixture
215,Did Fauci Compare Research About COVID-19 to That of Chickenpox?,FALSE
216,President Obama Confirms He Will Refuse to Leave Office If Trump Is Elected,FALSE
217,Did Trump Tweet That South Dakota Should Close Its Border with California?,FALSE
218,Rainbow Grilled Cheese,FALSE
219,Did CDC Tell Parents To Prepare for 'Sudden Sleepover' at Schools Due to COVID-19?,Mixture
220,"Did Joni Ernst Get Early COVID-19 Vax After Calling Virus Hoax, Opposing Masks?",Mixture
221,Did Ari Fleischer Compare Showing ID to Get Vaccinated to Voter ID Laws?,TRUE
222,"Chimpanzee Rapidly Memorizes, Locates Numbers on a Screen",Mixture
223,Hillary Clinton Wore Secret Earpiece During First Presidential Debate?,FALSE
224,Does Watching Horror Movies Reduce Risk of Obesity?,Mixture
225,Did the Kennedy Center Donate Stimulus Money to the DNC?,Mixture
226,Did Empire State Building Display 'Siren' Lights During COVID-19 Pandemic?,TRUE
227,Did President Obama Say We Deserved 9/11?,FALSE
228,Police Union Cancels Trump Endorsement,FALSE
229,WikiLeaks Exposes Fake Trump Groping Plot,FALSE
230,Can Getting COVID-19 Vaccine Disqualify You From Life Insurance Benefits?,FALSE
231,Did Biden Say Schools Would Reopen in January 2021?,FALSE
232,Is FEMA Offering Hazard Pay Due to COVID-19?,FALSE
233,Hillary Clinton Has a Seizure on Camera?,Mixture
234,Was Officer Nakia Jones Fired After Posting a Viral Police Brutality Video?,Mixture
235,Was 'Born Basic Anti-Bac' Hand Sanitizer Recalled in the US?,Mixture
236,Is This a C. S. Lewis Quote from 1942?,FALSE
237,Durex to Produce Eggplant-Flavored Condoms,FALSE
238,Are 'Neck Gaiters' Worse at COVID-19 Transmission Than Foregoing Masks Altogether?,FALSE
239,Did an Australian Military Veteran Beat Up Eight Muslims for Attacking His Wife?,Mixture
240,Boston Police Officer Kills Black Man Over Marijuana Cigarette,FALSE
241,"Syrian Refugees Complain About Slow Internet, No Television",Mixture
242,"No, Israel Didn't Say the Pfizer Vaccine 'Killed 40 Times More Elderly' Than COVID-19",FALSE
243,Is Walmart Providing 'Free Thanksgiving Dinner for All'?,Mixture
244,Fisherman Survives Inside Whale for Three Days,FALSE
245,Iran Blurs Photograph Showing Olympics Volleyball Player,FALSE
246,You Had a Hunch the News System Was Rigged?,Mixture
247,Did Trump Suggest Injecting Disinfectants as COVID-19 Treatment?,TRUE
248,Did Pelosi Stage Photo of Herself Getting COVID-19 Vaccine?,FALSE
249,Elijah Cummings Said Democrats Gave Black People the Right to Vote?,Mixture
250,How 10cc Got Their Name,FALSE
251,Clinton Foundation Scores Higher as a Charity than the Red Cross?,Mixture
252,Do Police Kill More White People Than Black People?,Mixture
253,Did Amazon Wait To Help Distribute COVID-19 Vaccine?,Mixture
254,Does This Photo Show an Anti-Semitic Sign at a COVID-19 Lockdown Protest?,TRUE
255,Angelina Jolie to Send All Six Children Back to an Orphanage,FALSE
256,Was Trump Against the Iraq War from the Beginning?,FALSE
257,Were Kentucky Couple Placed Under House Arrest for Refusing To Sign Quarantine Agreement?,Mixture
258,"Clinton, Kerry Nominated for Nobel Peace Prize for Iran Deal",FALSE
259,Does Using Hand Sanitizer Pose a Danger to Pets?,FALSE
260,Is Horseshoe Crab Blood Required for COVID-19 Vaccines?,Mixture
261,Hillary Clinton Lost $6 Billion at the State Department?,Mixture
262,Graham Says Christians Must Support Trump or Face Death Camps,FALSE
263,Hillary Clinton Targets Family Farms with 65% Estate Tax?,Mixture
264,Is US COVID-19 Case Total Highest Globally Due to 'Great Testing'?,FALSE
265,"Bernie Sanders Suggests Election Is Rigged, Unendorses Hillary Clinton",Mixture
266,Does COVID Stand for ‘Certificate of Vaccination ID’?,FALSE
267,Did Christopher Harrington Patent a 'CV19-N95' Mask in 2015?,FALSE
268,Is WWE's Vince McMahon Advising Trump on the Economy?,TRUE
269,Did Costco Issue a Recall Notice for Toilet Paper?,FALSE
270,"Julian Assange Said Bernie Sanders Won Race, Was Threatened",FALSE
271,Did Donald Trump Die of a Heart Attack?,FALSE
272,Is 'COV-19' Inscribed on This Piece of 5G Equipment?,FALSE
273,106 Dead In California Music Festival Bombing,FALSE
274,Can You Vote Online with a Hashtag?,FALSE
275,Did Fauci Blame Mask Use for 1918 'Spanish Flu' Deaths?,FALSE
276,Is the White House Gift Shop Selling Coronavirus Commemorative Coins?,Mixture
277,Did Trump Promise a COVID-19 Vaccine by Election Day?,Mixture
278,Can You Get Legionnaires’ Disease from Face Masks?,FALSE
279,Does Trump Benefit Financially by Promoting Hydroxychloroquine as COVID-19 Treatment?,Mixture
280,"Katrina Pierson Arrested for Shoplifting, Illegally Collected Unemployment?",Mixture
281,Will Jesus Be Portrayed as Homosexual in an Upcoming Film?,FALSE
282,Muslims Demand Army Change Its Dress Code to Include Turbans and Beards,Mixture
283,Darboy Walmart Abduction Warning,FALSE
284,New Regulation Bans Children from Riding on Motorcycles,FALSE
285,Did Musician Dr. Creep Predict the COVID Pandemic in a 2013 Song?,FALSE
286,New Regulation Requires Motorcycle Owners to Install 75 MPH Governors by January 2017,FALSE
287,Leaked E-mails Show John Podesta Discussed Alien Technology with Former NASA Astronaut,Mixture
288,Did Pilot 'Draw' Syringe in Sky to Celebrate COVID-19 Vaccine?,TRUE
289,Does This Video Show Mass Graves in Italy?,FALSE
290,Dallas Shooter Not Identified as Neo-Nazi Jeffrey Harris,FALSE
291,Did Obituary Blame Trump for Man's COVID-19 Death?,TRUE
292,Did a Photo Show iPads Used for Virtual End-of-Life Visits Due to COVID-19?,Mixture
293,All Living Ex-Presidents Warn Against Donald Trump,Mixture
294,"Chelsea Clinton Made $900,000 Working for Her Parents",FALSE
295,Lester Holt Wore an Earpiece During the Debate.  So What?,Mixture
296,France Covered Up Torture and Mutilation of Bataclan Victims,FALSE
297,"Pope Francis Shocks World, Endorses Hillary Clinton for President",FALSE
298,"No, UK Is Not Texting Fines for Leaving the House",FALSE
299,Are the Himalayas Visible from Northern India for First Time in 30 Years?,Mixture
300,Did Researchers Warn Certain COVID-19 Vaccines Could Increase HIV Risk?,Mixture
301,Donald Trump Gave His 2nd Grade Music Teacher a Black Eye,Mixture
302,Does AstraZeneca's COVID-19 Vaccine Contain Aborted Fetal Cells?,FALSE
303,Accused Cascade Mall Shooter Arcan Cetin Voted as a Non-Citizen?,Mixture
304,Did 1 in 800 North Dakotans Die from COVID-19 by December 2020?,TRUE
305,Harvard Study Reveals Just How Much Damage Instant Noodles Do to Your Body,Mixture
306,Uniformed Police Officers Banned From the Democratic National Convention,FALSE
307,Was 2020 a 'Typical Year' for US Deaths Despite COVID-19?,FALSE
308,Did JFK Use Marijuana as President?,Mixture
309,Has Crossbreeding Humans with Animals Been Approved in the United States?,Mixture
310,Did Robert Aaron Long Post China 'COVID Cover-Up' Message Before Mass Shooting?,FALSE
311,Horrified Joel Osteen Learns About Crucifixion?,FALSE
312,Did Bill Clinton Hold Up LAX Air Traffic for a Haircut?,FALSE
313,Was a Fatal Motorcycle Crash Listed Among COVID-19 Deaths in Florida?,Mixture
314,Plane Crash-Lands on Beach,FALSE
315,Did Kim Jong Un Order North Korea's First Coronavirus Patient To Be Executed?,Mixture
316,North Dakota Gives the Green Light to Shoot Indigenous Tribes on Sight,FALSE
317,"Bill Clinton was Fined, Disbarred Over the Monica Lewinsky Scandal",Mixture
318,Jason Pierre-Paul Blows Off Other Hand After His Samsung Galaxy Note 7 Explodes,FALSE
319,Is This 'Muzzles Are for Dogs and Slaves' Protest Sign Real?,TRUE
320,RNC Reportedly Adopts Conversion Therapy as 2016 Platform Plank,Mixture
321,Were Bees Added to the Endangered Species List?,Mixture
322,Do Color Codes on Toothpaste Tubes Identify Their Ingredients?,FALSE
323,Did Jill Stein Endorse Donald Trump?,FALSE
324,"No, A Nurse in Alabama Did Not Die from COVID-19 Vaccine",FALSE
325,Did Biden Give Gitmo Prisoners COVID-19 Vaccines Before Americans?,Mixture
326,Did White House Press Secretary Call COVID-19 Guidelines ‘Orwellian’?,TRUE
327,Did Calif. Announce It Will Pay Undocumented Residents COVID-19 Stimulus While Laying Off First Responders?,Mixture
328,Did Biden Ban Saying 'China Virus' With Executive Order?,Mixture
329,Officer Hospitalized After Being Served Sandwich Containing Glass Shards,Mixture
330,Will PokÃ©mon in PokÃ©mon GO Scream if Within a Mile of a Sex Offender?,FALSE
331,Is This a Sand-Covered Highway to Dubai During the COVID-19 Pandemic?,FALSE
332,Did Marvelous Marvin Hagler Die From COVID-19 Vaccination?,FALSE
333,Early Morning Explosion in DC Allegedly Leaves Yet Another DNC Staffer Dead,FALSE
334,Did German Baker Make Syringe-Shaped Cakes to Celebrate COVID Vaccines?,TRUE
335,Woman Dies from Maggot Infested Weave,FALSE
336,Did Dave Ramsey Say Those Needing Stimulus Checks 'Were Pretty Much Screwed Already'?,TRUE
337,Jaden Smith Commits Suicide,FALSE
338,Food Lion $90 Coupon,FALSE
339,White House Lighting,Mixture
340,Obama and Trump Use Umbrellas,Mixture
341,Was This Letter Written by F. Scott Fitzgerald in Quarantine?,FALSE
342,Is the Green Party on the Ballot in All 50 States?,TRUE
343,Was an Inflatable Costume Responsible for Spreading COVID at Hospital?,Mixture
344,Did Biden Set US 'Back 50 Years' on Energy Independence Progress?,Mixture
345,"Always a Bridesmaid, Never a Bride",TRUE
346,Rope-a-Dope Deer,FALSE
347,Was This Pandemic Poem Written by Kathleen O'Mara in 1919?,FALSE
348,23 States Agree to Implement Gun Control Law Banning Hollow Point Ammunition,FALSE
349,Did Ohio Man Who Called COVID-19 a 'Political Ploy' Die from the Disease?,TRUE
350,Obama Signs Executive Order Banning the Pledge of Allegiance in Schools Nationwide,FALSE
351,Zika Spraying Killed Millions of Bees in South Carolina,TRUE
352,Rochester/Silver Lake Park Abduction Warning,FALSE
353,Did 'Captain America' Movie Predict the Coronavirus Pandemic?,FALSE
354,Did Dr. Fauci Say NIH Was Told To Cancel Grant for Coronavirus Emergence Research?,TRUE
355,Russia Put Black Lives Matter on Official Terror List,FALSE
356,Did 13 'Nuns' Die of COVID-19 at a US Convent?,TRUE
357,Are 'Mass Graves' Being Dug for COVID-19 Deaths?,Mixture
358,Obama to Remove Statue of Liberty Because It Offends Muslims,FALSE
359,"Bernie Sanders, FDR, and Contested Conventions",Mixture
360,Massachusetts Just Banned the Sale of All Semi-Automatic Rifles,Mixture
361,Joyce Meyer Dead at 73,FALSE
362,Did Taco Bell Just Announce 'Major' and 'Unreal' COVID Changes?,Mixture
363,Trump and Children Face $250 Million Tax Evasion Charges,Mixture
364,Hillary Clinton Death Hoax,FALSE
365,Are Bill Gates and the ID2020 Coalition Using COVID-19 To Build Global Surveillance State?,FALSE
366,Did Missouri Schools Require Parents Sign COVID-19 'Death' Waivers?,Mixture
367,Did Hitler Invent the Inflatable Sex Doll?,FALSE
368,Do These Photos Show Staph Infections Caused by Face Masks?,FALSE
369,Rush Limbaugh: Obama Sending Lesbian Farmers to Invade Red States,TRUE
370,The Origins of Policing in the United States,Mixture
371,Video Shows Baby Delivered Inside Intact Amniotic Sac,TRUE
372,Did Trump Say He Might Sign an Exec Order Barring Biden Presidency?,Mixture
373,An Ode to America,TRUE
374,Were Homeowners Encouraged to Burn Batteries to Prevent Chimney Soot?,TRUE
375,Does Arizona Have the Worldwide Highest COVID Cases Per Day?,TRUE
376,Leonardo DiCaprio Endorses Trump?,FALSE
377,Last Words,FALSE
378,Can Mouthwash 'Kill' COVID-19?,Mixture
379,Recalled Tampons Result in Bloody Exodus of Ants from Body,FALSE
380,Michelle Obama Plagiarized Her 2008 DNC Speech from Stephen R. Covey,FALSE
381,Warning: Kay Jewelers Free Ring Gift,Mixture
382,Do Vampire Bats Practice 'Social Distancing' When Feeling Ill?,Mixture
383,Did Elon Musk Tweet a Dessert Picture from a Restaurant Amid COVID-19 Restrictions?,Mixture
384,Is Trump Blocking COVID-19 Aid in Favor of Tax Cuts That Would Drain Social Security?,Mixture
385,Florida Officer Mistakes Donut Glaze for Methampetamines,TRUE
386,Can Large Thanksgiving Dinners Lead to Jail Time in Oregon While ‘Crack Is Legal’?,Mixture
387,Ted Cruz Will Speak at Democratic National Convention,FALSE
388,Obama Signs Executive Order to Pay Partial Reparations to African-Americans,FALSE
389,DEFCON Warning Level Escalated to 3,FALSE
390,Did Fauci Warn Trump in 2017 That a 'Surprise Outbreak' Was Coming?,TRUE
391,Was Canada's Draconian COVID 'Global Reset Plan' Leaked to the Public?,FALSE
392,So You Think You Know the Real Donald Trump?,Mixture
393,Alton Sterling: Longtime Criminal and Gang Member?,Mixture
394,"Did Kroger Tell Employees They Can Wear BLM Masks, But Not Flag Masks?",FALSE
395,Will US COVID-19 Deaths Be Double the Number of US Vietnam War Deaths by Fall 2020?,Mixture
