ID,Post,Label
41,Did the Trump Boat Parade Result in This Sunken Ship Photo?,FALSE
42,Did Kamala Harris Support Abortion Until the Time of Giving Birth?,Mixture
43,Did Prince Harry and Meghan Markle Buy an RV Camper?,FALSE
44,Amish Dobergoat Fighting Ring Busted!,FALSE
45,Did Santiago Flight 513 Disappear in 1954 Only to Land in 1989?,FALSE
46,Is Las Vegas Now Powered Entirely with Renewable Energy?,Mixture
47,Elizabeth Warren Pays Female Staffers Less Than Their Male Counterparts?,Mixture
48,Does Farting Negate the Use of Masks to Prevent COVID-19?,FALSE
49,Do In-N-Out Burger Food Containers Include Bible Verses?,TRUE
50,Did Starbucks Refuse Free Product to Marines Serving in Iraq?,FALSE
51,Did an Evangelical Leader Say Trump Opposers Might be Punished With a Gay Child?,FALSE
52,Was a Swedish Church Vandalized After Housing Muslim Refugees?,Mixture
53,Obama and Trump Use Umbrellas,Mixture
54,Rumors About Target,Mixture
55,Obama and Clinton Have Iranian Advisers?,FALSE
56,"Dead Bigfoot Confirmed at Elephant Butte Lake, New Mexico?",FALSE
57,Did MSNBC Reporter Say 'I Hope Coronavirus Kills People and Hurts Trump's Reelection'?,FALSE
58,Ecstasy in Halloween Candy?,Mixture
59,Is a Wisconsin Company Offering to Microchip its Employees?,TRUE
60,Did the California Legislature Cancel Presidents Day?,FALSE
61,Did an Irish Times Column Express 'Pity' for the US?,TRUE
62,Ivanka Trump Disavows Her Father,FALSE
63,Are Bill Gates and the ID2020 Coalition Using COVID-19 To Build Global Surveillance State?,FALSE
64,The Tragic Life of Keanu Reeves,Mixture
65,Did Barack Obama Fail to Salute the Flag at Arlington on Veterans Day?,FALSE
66,Does a Single Volcanic Eruption Release as Much CO2 As All of Humanity Has to Date?,FALSE
67,WikiLeaks Confirms Hillary Clinton Sold Weapons to ISIS?,Mixture
68,Restaurant Staff Walks Out When Obamas Walk In,FALSE
69,Did George Floyd and Then-Officer Derek Chauvin Work Together in Minneapolis?,Mixture
70,Bernie Sanders Marched with MLK at Selma?,FALSE
71,Was Fox News' John Roberts Caught on Hot Mic Discussing COVID-19 as a Hoax?,FALSE
72,Did the Red Cross Prevent 400 Hamburgers from Getting to Harvey Victims?,Mixture
73,Does This Photo Show Trump Wearing a Protective Mask?,TRUE
74,Did Vladimir Putin Give an Anti-Islam Speech?,FALSE
75,Can People Who Recover from COVID-19 Become Reinfected?,Mixture
76,Did Federal Troops Tear-Gas the Yankees?,FALSE
77,Is This Timeline of Trump's Coronavirus Responses Accurate?,Mixture
78,Is This President Trump With a Controversial Russian Lawyer?,FALSE
79,Hiroshima vs. Detroit,FALSE
80,Was Nancy Pelosi Fined $40K For Destruction of Government Property?,FALSE
81,Are Doctors and Hospitals Paid More for COVID-19 Patients?,Mixture
82,Could Mixing Dawn Dish Soap with Clorox Bleach Kill You?,Mixture
83,Was a High School Teen Shot After Police Mistook a Saxophone for a Machine Gun?,FALSE
84,Obamas at a White House Ball,FALSE
85,HIV-Infected Needle Attacks,FALSE
86,Did Matthew McConaughey Endorse Donald Trump?,FALSE
87,Wisconsin Girl Dies as a Result of Receiving Gardasil HPV Vaccine,FALSE
88,Miranda Cosgrove Arrested for Prostitution?,FALSE
89,Obama Signs Executive Order Declaring Investigation Into Election Results,FALSE
90,Donald Trump Browser Filter,TRUE
91,Did DOJ Propose Rollback of Defendants' Rights During Pandemic?,TRUE
92,Is Pedophilia Considered a Disability in Greece?,FALSE
93,Colorado Birth Control Facts,Mixture
94,Did a Hotel Owner in Switzerland Ask Jewish Guests to Shower Before Using the Pool?,TRUE
95,"Did Researchers Find a Mummified, Three-Fingered Alien in Nazca, Peru?",FALSE
96,A Universal Force,FALSE
97,Australia Becomes First Country to Begin Microchipping Its Public?,FALSE
98,Does This Phone Number Connect with United Way's COVID-19 Relief Fund?,Mixture
99,Trump Wants Executive Order Abolishing Impeachment?,FALSE
100,President Obama Takes a Knee During National Anthem,FALSE
101,Donald Trump Congratulates Serena Williams,FALSE
102,Michelle Obama Stole Her Speech from Melania Trump,FALSE
103,Did Ruth Bader Ginsburg Say that Pedophilia Was Good for Children?,FALSE
104,Was a Chinese Man Arrested in New York for Selling Hot Dogs Made from Dog Meat?,FALSE
105,Tim Kaine Yells at His Daughter,FALSE
106,Is Santa Officially Exempt from COVID-19 Restrictions in Ireland?,TRUE
107,Did Ayn Rand Receive Social Security Benefits?,TRUE
108,FALSE: Michael Jordan Lowers Price of Air Jordan Shoes to $19.99,FALSE
109,More New England Patriots Players Attended White House Super Bowl Ceremony in 2015 than 2017?,Mixture
110,Does This Video Show an FBI Agent Arrested During 2020 Protests?,FALSE
111,Did the Hollywood Reporter Criticize Actors Who Opposed Nazi Germany in 1937?,TRUE
112,Did Anonymous Bring Down The Daily Stormer?,Mixture
113,WikiLeaks: Clintons Purchase $200 Million Maldives Estate,FALSE
114,Was Boris Johnson Photographed with Ghislaine Maxwell?,FALSE
115,You Had a Hunch the News System Was Rigged?,Mixture
116,Is Beyonc√© an Italian Woman Named Ann Marie Lastrassi?,FALSE
117,Woman Dies from Maggot Infested Weave,FALSE
118,Did the U.S. Food and Drug Administration Announce a Ban on a Colgate Total Toothpaste Ingredient?,Mixture
119,Did Prince Charles Ignore Mike Pence at a Holocaust Commemoration?,FALSE
120,Recalled Tampons Result in Bloody Exodus of Ants from Body,FALSE
121,Is China Building a Hospital in 10 Days to Treat Coronavirus Patients?,TRUE
122,Will Ticketmaster Require Event Attendees To Provide Proof of Negative COVID-19 Test?,Mixture
123,Is Seasonal Flu More Deadly Than COVID-19?,FALSE
124,Donald Trump Made Donations to NAMBLA?,FALSE
125,Was Trump's Regeneron 'Cure' Developed Using Stem Cells and Fetal Tissues?,Mixture
126,Did Soleimani Command Forces That Killed U.S. Capt. Brian S. Freeman?,Mixture
127,Does Kinking a Live Electrical Wire Stop Electricity and Make it Safe?,FALSE
128,Canada Receives 10 Million Immigration Applications,FALSE
129,Joel Osteen Sails Luxury Yacht Through Flooded Houston to Pass out Copies of His Book?,FALSE
130,Was 'Proud Boy' Rob Cantrell Seen Screaming at Cop at Anti-Lockdown Protest?,FALSE
131,Four-Armed UFO Spotted by International Space Station?,Mixture
132,Did Southwest Airlines Change Their Slogan After United Airlines Controversy?,FALSE
133,Can Getting COVID-19 Vaccine Disqualify You From Life Insurance Benefits?,FALSE
134,Does This List Prove Voter Fraud in 2012?,FALSE
135,Did the Trump Organization Win a Lucrative Contract to Rebuild a Syrian Airport?,FALSE
136,Did a Police Radar Gun Almost Cause a Missile Launch?,FALSE
137,Clinton Foundation Scores Higher as a Charity than the Red Cross?,Mixture
138,"Did Kenosha Leaders Require Police Body Cams, Then Fail To Buy Them?",Mixture
139,Was a Wyoming Man Found with 30 Eyeballs in His Anal Cavity?,FALSE
140,Does Glaxo Own the 'Wuhan Lab'?,FALSE
141,Russia Has Reached Saturn?,FALSE
142,Mysterious Unidentified Flying Object Over Airport in Turkey,FALSE
143,Is This a Real Backdrop of a Boris Johnson Interview?,FALSE
144,Prophet Mohammed London Buses,Mixture
145,Did Sarah Huckabee Sanders Wear a KKK Halloween Costume in 1993?,FALSE
146,Does Burning Sage Eliminate Airborne Bacteria?,FALSE
147,Did Trump Really Say This About Wind and Windmills?,TRUE
148,Does AARP Support the Democratic Party?,FALSE
149,Who Was Michael Myers?,TRUE
150,Was a UFO Spotted Over New Jersey?,FALSE
151,John McCain No Longer a Senator?,FALSE
152,Hurricane Hermine Waterspout in North Carolina,FALSE
153,Is This a Marijuana Grower Hiding From Law Enforcement?,FALSE
154,Bill Murray and Hunter S. Thompson Wore Vulgar T-Shirts?,FALSE
155,Warning Issued by Thailand About HIV in Canned Food?,FALSE
156,Did Russia Hack the GPS System of the USS John McCain to Cause a Collision?,Mixture
157,Was a Suitcase Full of Dead Birds from China Seized at Dulles Airport?,Mixture
158,Are Charitable NGOs Trafficking People Across the Mediterranean to Europe?,FALSE
159,ObamaPhones,Mixture
160,Was a Rare Malabar Civet Spotted During COVID-19 Lockdown?,Mixture
161,Will mRNA COVID-19 Vaccines Wreak 'Havoc on The Lungs' in 4 to 14 Months?,FALSE
162,Michele Bachmann on Columbus Day,FALSE
163,Are Thieves Handing Out Masks With Chemicals That Make You Pass Out?,FALSE
164,Putin Cancels Campaign Event with Trump?,FALSE
165,Delivery Person Mistaken for Troll,FALSE
166,Did the Annabelle Doll Escape from the Warren Museum?,FALSE
167,Gary Sinise Tweets Hillary Clinton About Guns,FALSE
168,Babysitter Transported to Hospital After Inserting a Baby in Her Vagina?,FALSE
169,"Shipment of Samsung Smartphones Explodes During Transport, 3 Dead",FALSE
170,Did Piers Morgan End His Friendship with Trump in an Open Letter?,TRUE
171,Is NASA Hiring Someone to Protect Earth from Aliens?,Mixture
172,Was a Fatal Motorcycle Crash Listed Among COVID-19 Deaths in Florida?,Mixture
173,Did Officers in Georgia Kill Over 250 People?,FALSE
174,Did Trump Tweet This About Goodyear?,FALSE
175,Rochester/Silver Lake Park Abduction Warning,FALSE
176,Did Obama Urge US Pandemic Preparedness in 2014?,TRUE
177,Bob Beckel Called for WikiLeaks Founder Julian Assange to Be Assassinated,Mixture
178,Did Ben Carson Discover $500 Billion in Accounting Errors at HUD?,Mixture
179,Are These Real Signs Carried by COVID-19 Anti-Lockdown Protesters?,FALSE
180,Do Thieves Use Trash to Case Homes for Expensive Christmas Presents?,Mixture
181,Australian Police Targeting Pokemon Go Players,FALSE
182,Kroger Grocery Stores Offer Free Fruit to Kids?,Mixture
183,Does This Disney Cartoon Show Mickey Mouse Inappropriately Making Swiss Cheese?,FALSE
184,Does Tidy Cat Litter Cause Breathing Problems in Cats?,Mixture
185,Did Donald Trump Appoint Sarah Palin as a Science Advisor?,FALSE
186,Is This Lawmaker Drinking from a Chocolate Syrup Bottle?,Mixture
187,San Francisco Tech Company CEO Framed Julian Assange?,FALSE
188,Does This Photo Show a Boy with a Fork Through His Nose?,TRUE
189,Obama Quietly Orders Millions of Disposable Coffins?,FALSE
190,Casey Anthony Obtains License for Home Daycare Business in Florida,FALSE
191,Did Kim Jong Un Order North Korea's First Coronavirus Patient To Be Executed?,Mixture
192,Does This Map Show Human Trafficking Hotspots in U.S.?,Mixture
193,Were 30 Marines Just Killed in a Helicopter Crash?,Mixture
194,Sarah Silverman: Killing Jesus,Mixture
195,Did the White House Cancel the 2017 Easter Egg Roll?,FALSE
196,Is Amazon Gathering Donations for Goodwill?,TRUE
197,Can You Get Legionnairesí Disease from Face Masks?,FALSE
198,Is This a Photograph of a Playground from 1900?,TRUE
199,Are Vegetarians Safe from COVID-19?,FALSE
200,Was Florida Teen Stung Over 600 Times After Inserting His Penis in a Beehive?,FALSE
201,Did the FDA Find Thousands of Coors Light Beers Laced with Cocaine?,FALSE
202,Hillary Clinton Wears a Defibrillator?,FALSE
203,Hillary Clinton Found Dead?,FALSE
204,Is Seasonal Flu More Deadly Than COVID-19?,FALSE
205,Did Pelosi Visit Hair Salon Closed Due to COVID-19?,TRUE
206,Does This Photograph Show a Dog Burned While Rescuing Its Family?,FALSE
207,Was a Stevie Ray Vaughan Statue Vandalized in Texas?,TRUE
208,Gatorboarding,FALSE
209,Lester Holt Wore an Earpiece During the Debate.  So What?,Mixture
210,Is This a Real Quote by Nelson Mandela?,FALSE
211,Did Neil deGrasse Tyson Address Gender Inequality in Science on Twitter?,FALSE
212,Did Biden Make This Statement About Democracy During a Pandemic?,TRUE
213,False: Obama Said Gun Laws Will Eliminate Crime,FALSE
214,Did Actor Chris Pratt Say He Likes Hunting Because He Enjoys Killing Animals?,Mixture
215,Did Missouri Rename a Highway Adopted by the KKK After Rosa Parks?,TRUE
216,Was Alec Baldwin Arrested at the 2017 Emmys for Threatening President Donald Trump?,FALSE
217,Was an American Flag Displayed on the White House?,Mixture
218,Diabetes Vaccine Announced?,FALSE
219,Is FEMA Covering Funeral Expenses for People Who Died From COVID-19?,TRUE
220,Will quoting the Bible be made illegal in Cincinnati?,FALSE
221,Food Lion $90 Coupon,FALSE
222,"Do 38 Million People Live in Seoul, South Korea?",FALSE
223,Was Tim Tebow Born After His Mother Refused an Abortion?,Mixture
224,Hillary Clinton Regularly Had Her Maid Print Classified Documents,Mixture
225,Did Trump Refer to 'China Virus' on Fox the Night Asian Women Were Killed in Atlanta?,TRUE
226,Pretoria Chinese Restaurants Granted Permission to Sell Dog Meat,FALSE
227,Bill Cosby Suicide Hoax,FALSE
228,Do Photos Really Show Red Skies Over Oregon?,TRUE
229,Teenage Arizona Couple Moves Out of Chicago After Just One Day Because of Assault?,Mixture
230,Was a Pastor Eaten by Crocodiles While Trying to Walk on Water?,FALSE
231,Audit the Vote,FALSE
232,Cash Back Scam,FALSE
233,"Due to Religious Intolerance, Facebook Bans All Christian-Themed Content",FALSE
234,"Does the Red Cross Ban Prayer at Shelters, Even in Churches?",FALSE
235,Supreme Court Confirms 20-Year Prison Sentence for Ex-VP Dick Cheney?,FALSE
236,Can People Who Recover from COVID-19 Become Reinfected?,Mixture
237,Was a Protester Throwing Explosives Into a Berkeley Crowd Before She Was Punched?,Mixture
238,Is Times Square Closed to Crowds on New Year's for First Time in History?,TRUE
239,Hillary Clinton Went Topless in the 1960s?,FALSE
240,Did a Mall Santa Beat Up a Child Molester?,FALSE
241,Did Protesters Set Fire to a Building with a Child Inside?,Mixture
242,Was Trey Gowdy Forced Into Protective Custody After Two Investigators Went Missing?,FALSE
243,Bruce Springsteen Attacks Donald Trump on Twitter,FALSE
244,New York Television Station Broadcasts Bizarre Warning Before Hoboken Train Crash,TRUE
245,Is This a 327-Pound Halibut?,TRUE
246,Is This a Dolphin Caught in Hurricane Winds?,FALSE
247,Did Chinese Authorities Seize 12 Tons of Beaver Penises Smuggled in From Canada?,FALSE
248,Colin Kaepernick Reportedly Found Dead in San Francisco Home,FALSE
249,Spanish Woman Cut in Half in Fatal Elevator Accident?,Mixture
250,Did Mitt Romney March with Demonstrators?,TRUE
251,Dun & Bradstreet Customer Complaints E-Mail,FALSE
252,Two Clinton Employees Arrested For Destroying Evidence As Uranium Probe Begins?,FALSE
253,Did Gavin Newsom Dine in Napa with Lobbyists During COVID?,TRUE
254,Was March 2020 the First March Since 2002 Without a US School Shooting?,Mixture
255,FALSE: Teen Hector Cruz Contracts Herpes from Condom Challenge,FALSE
256,Did Hillary Clinton Wear Blackface at a Costume Party?,FALSE
257,Did Uninsured Teen Die of COVID-19 After Being Denied Treatment?,Mixture
258,White House Lighting,Mixture
259,Did Donald Trump Receive an Ellis Island Award in 1986?,TRUE
260,Was Suspect in Slaying of 7-Year-old Girl Released on Bail Hours Before Her Shooting?,TRUE
261,Did Facebook Allow a Post Calling for the Hanging of White People?,FALSE
262,Did the Royal British Legion Stop Selling Poppies to Avoid Offending Minorities?,FALSE
263,Did The Satanic Temple Sue Over Missouri Abortion Law?,TRUE
264,Mutation Response Vehicle,FALSE
265,Tweet Claims Clinton to Drop Out of Presidential Race,FALSE
266,Barron Trump Wins National Academic Award?,FALSE
267,Did Trump Say Governors Had To Treat Him Well To Get COVID-19 Supplies?,Mixture
268,Black Lives Matter Protests Kill Girl Waiting for Transplant in Memphis,FALSE
269,Did the Pope Forbid Catholics from Voting for Hillary Clinton?,FALSE
270,Did 13 'Nuns' Die of COVID-19 at a US Convent?,TRUE
271,Did President Trump Ride in a Penis-Shaped Motorcade?,FALSE
272,Anonymous Donor Pays $2.5 Million to Release Everyone Arrested at Dakota Access Pipeline?,Mixture
273,Is This a Real Letter from Trump to US Sen. Chuck Schumer?,TRUE
274,Tim Hortons Adding Marijuana to Their Menu,FALSE
275,Did RNC Attendees Forgo Masks And Social Distancing?,TRUE
276,Did Trey Gowdy Say He Was 'Madder Than Hell' at Pelosi's COVID-Relief Remarks?,TRUE
277,Donald Trump Divorced Ivana Because Her Breast Implants Felt Wrong?,Mixture
278,Does Trump Own Stock in a Company CDC Uses for COVID-19 Tests?,FALSE
279,Was a Rare Malabar Civet Spotted During COVID-19 Lockdown?,Mixture
280,Is 'Center for Global Human Population Reduction' Inscribed on a Gates Foundation Building?,FALSE
281,Does This Restaurant Receipt Show a COVID-19 Surcharge?,TRUE
282,Anti-Trump Protesters Block Ambulance; Father of 4-Year-Old Girl Dies?,Mixture
283,All Living Ex-Presidents Warn Against Donald Trump,Mixture
284,Did Trump Decry Low-Flow Showers and Dishwashers During a Pandemic?,TRUE
285,Are These New Zealanders Celebrating the End of COVID-19 Restrictions?,TRUE
286,Were UFOs Spotted Over Oklahoma City?,FALSE
287,Is This a Real Message Displayed at a COVID-19 Anti-Lockdown Protest?,TRUE
288,"Were Power Outages in Los Angeles, San Francisco and New York Caused by Cyberattacks?",FALSE
289,Clinton Campaign Paid Beyonce and Jay Z $62 Million for Cleveland Concert to Secure Black Votes,FALSE
290,Was This Popcorn Popped With a Blowtorch and a Hairdryer?,FALSE
291,Do Color Codes on Toothpaste Tubes Identify Their Ingredients?,FALSE
292,Russian Ships Displayed at 2012 DNC Tribute to Vets,TRUE
293,Did Biden Give Gitmo Prisoners COVID-19 Vaccines Before Americans?,Mixture
294,Carjacker Run Over by Truck?,FALSE
295,Are 3 Previous US Presidents All Younger Than 2020 Candidates?,Mixture
296,Mutation Response Vehicle,FALSE
297,Did Trump Complain About the State of the White House Bunker in a Tweet?,FALSE
298,Does the NFL Plan to Play the Black National Anthem Before Games?,Mixture
299,Is Florida Giving COVID-19 Vaccines to Canadians to Increase Tourism?,Mixture
300,Woman Mistaken for Clown Shot and Killed in Walmart Parking Lot,FALSE
301,Florida Business Owners Engage In Shootout with Looters; 31 Confirmed Dead,FALSE
302,Did Clint Eastwood Express Support for Mike Bloomberg in 2020?,TRUE
303,Trump Just Removed His Name from His Hotels Due to Plummeting Business?,Mixture
304,Was a Blind Girl in the UK Banned from Using Her Cane at School?,Mixture
305,Did CNN Air Half an Hour of Pornographic Content?,FALSE
306,Muslim-American Medical Demographics,Mixture
307,Conspiracy Weary,FALSE
308,Did 174 Democrats Vote Against Barring TSA from Hiring Terrorists and Sexual Predators?,Mixture
309,Poisoned Halloween Candy,FALSE
310,Whole Foods Market Bans Gendered Language,Mixture
311,Are Rhinos and Elephants Getting Pink Horns to Prevent Poaching?,Mixture
312,Ben Carson Thinks the Earth Would Have Exploded During Big Bang,FALSE
313,Did Albert Einstein Humiliate an Atheist Professor?,FALSE
314,Does a Photo Show a Man Fighting IS in a Kobe Jersey?,TRUE
315,Trump Blasts Media for Reporting Things He Says?,FALSE
316,Early Morning Explosion in DC Allegedly Leaves Yet Another DNC Staffer Dead,FALSE
317,Fake Amber Alert: Plate 72B 381,FALSE
318,Did Jane Fonda Betray American POWs in North Vietnam?,FALSE
319,Half-Eaten Shark Washes Up in Daytona,Mixture
320,Trump Family Photograph,TRUE
321,Did Corona Beer Sales Drop Sharply Due to Fear About the Coronavirus?,FALSE
322,Did Ronald Reagan Predict a Trump Presidency?,FALSE
323,For All Jews Voting for Hillary,TRUE
324,Did Pepsi Donate $100M to Black Lives Matter?,Mixture
325,Free JetBlue Tickets Scam,FALSE
326,Are There Floating Islands of Fire Ants in Hurricane-Flooded Areas of Texas?,TRUE
327,Hillary Clinton Used Green Screen to Make a Fake Crowd in Nevada,FALSE
328,Is This Heath Ledger Posing with Cillian Murphy?,FALSE
329,Is Kansas City Ordering Churchgoers To Register with the Government?,FALSE
330,"Is There a New, Rare Tick That Burrows Under Your Skin Undetected?",FALSE
331,Did a Couple Wear Swastika Masks to Walmart?,TRUE
332,Floridians Can Obtain Food Stamp Benefits If Their Power Went Out During Hurricane Irma?,Mixture
333,"Was Ex-Apprentice Summer Zervos Paid $500,000 by Gloria Allred to Accuse Trump?",Mixture
334,Did Fauci Lower His Mask at a Baseball Game?,TRUE
335,"Life Expectancy in the United States Declining, Thanks to Obamacare",FALSE
336,Chemtrails Switch Photo,FALSE
337,G20 Ends Abruptly as Obama Calls Putin a Jackass?,FALSE
338,Fatima Noor Appointed to Homeland Security,Mixture
339,New York Police Take Rutgers Professor for Psychological Evaluation Over Political Tweet?,Mixture
340,How to Spot a Two-Way Mirror,Mixture
341,Did Archaeologists Dig Up an 800-Year-Old Alien Cellphone?,FALSE
342,Massive Stone Age Tunnel Stretches from Scotland to Turkey,Mixture
343,Was COVID-19 Discovered in the US and South Korea on the Same Day?,TRUE
344,Was the Fox News Channel Banned in Canada?,FALSE
345,Do Police Kill More White People Than Black People?,Mixture
346,Did Budweiser Pull Advertising from the NFL Over National Anthem Protests?,FALSE
347,"No, Cargo Ships Have Not Stopped Traveling in the Atlantic Ocean",FALSE
348,Malawian Minister Sent Pornographic Video to Beyonc√©?,Mixture
349,Tim Kaine Made DNC Vice Presidential Deal with Hillary Clinton in 2011,Mixture
350,"Was a Dog Elected Mayor of Rabbit Hash, Kentucky?",Mixture
351,Doctors Kill More People Than Guns?,FALSE
352,Solar Eclipse from Space,FALSE
353,"If the US General Election Is Delayed, Does Pelosi Become President?",Mixture
354,Did US Rep. Tlaib Announce Pledge of Allegiance Was Banned in Michigan?,FALSE
355,Our Days Feel Shorter Because Time Is Literally Speeding Up,FALSE
356,Is the COVID-19 Vaccine Vape Cartridge Real?,FALSE
357,Did a Washington School District Ban Pork Due to a Muslim Outcry?,FALSE
358,Does China Have a 'New' Outbreak of Hantavirus?,Mixture
359,Free Krispy Kreme Doughnuts for Pirates on September 19,TRUE
360,Connor Reid Eckhardt,Mixture
361,Metallica Singer Celebrates a PhD in Astrophysics,FALSE
362,Did People Put Sunscreen on Their Eyes During the Solar Eclipse?,Mixture
363,Ace Hardware Stands Against Standing Rock?,Mixture
364,Are These Images of Donald Trump and Ghislaine Maxwell Real?,TRUE
365,Bill Murray or Tom Hanks?,TRUE
366,Are These Painted Cats Real?,FALSE
367,Is Pepsi Contaminated with HIV?,FALSE
368,Did Pelosi Promise to Resign If Trump Is Re-Elected?,FALSE
369,Obama Explains National Anthem Stance?,FALSE
370,"Pope Francis Shocks World, Endorses Donald Trump for President",FALSE
371,Was the Netflix CEO Arrested on Child Pornography Charges?,FALSE
372,Protests Seek to #EndFathersDay?,FALSE
373,Brock Turner Beaten with Sex Toys by Flash Mob,FALSE
374,Did Kamala Harris Make These Contrasting Statements About Police?,TRUE
375,Did Donald Trump Say the Earth Is Flat?,FALSE
376,Are You Exempt from Paying Sold-Off Debt?,FALSE
377,Clouds Over Mount Fuji,Mixture
378,Is Trojan Selling Pre-Owned Condoms?,FALSE
379,Did Ruth Bader Ginsburg Say that Pedophilia Was Good for Children?,FALSE
380,Did Muslims Demand Pork-Free Menus?,FALSE
381,Sylvester Stallone Porn Film,TRUE
382,Were Chester Bennington and Chris Cornell Murdered to Cover Up a Pedophile Ring?,FALSE
383,FALSE: President Obama Pardons Bill Cosby,FALSE
384,Does This Video Show a Dragon That Fell from the Sky in Tibet?,FALSE
385,Did Melania Trump Post a Photo of Herself Wearing a Soviet Army Hat?,FALSE
386,Did Coronavirus Vaccine Story Run Same Day as Reports of Kobe's Death?,TRUE
387,Is This Image a Long-Exposure Photograph of a Lightning Bolt Hitting a Tree?,FALSE
388,106 Dead In California Music Festival Bombing,FALSE
389,Alligator Eats Girl Taking Photograph?,FALSE
390,DEFCON Warning Level Escalated to 3,FALSE
391,Tom Hanks Backs Donald Trump for President,FALSE
392,Did Marla Maples Die in a Plane Crash?,FALSE
393,80 Percent of Murders Involve Interpersonal Disputes,Mixture
394,Make-a-Wish Touchdown,FALSE
395,Was This Coyote Given a Bath After Being Mistaken for a Dog?,FALSE
396,Do Mail-In Ballots Increase Risk of Voter Fraud?,Mixture
397,Did CBS News Use Footage from Italy for New York COVID-19 Report?,TRUE
398,Did Dr. Fauci Say There Was 'Nothing to Worry About' in Regards to COVID-19?,Mixture
399,Is BLM To Blame for the Shooting of 2 Deputies?,Mixture
400,Trump Threatens to Skip Remaining Debates If Hillary Is There?,FALSE
401,September 11 Adultery Revelation,FALSE
402,DeRay Mckesson and the Summer of Chaos,FALSE
403,Did a Californian Die Hours After Receiving COVID-19 Vaccine?,Mixture
404,Hillary Clinton Hired a Child Actor for a Town Hall Event?,Mixture
405,"Did Joni Ernst Get Early COVID-19 Vax After Calling Virus Hoax, Opposing Masks?",Mixture
406,Fukushima Radiation Causes 100% Infant Mortality Among Orca Whales,FALSE
407,Did Immigration Enforcement Agents Arrest the Mayor of Los Angeles?,FALSE
408,Is Fentanyl-Laced Marijuana Use on the Rise?,FALSE
409,Hope Farm Owners Threatened by Refugees,Mixture
410,President Obama Confirms He Will Refuse to Leave Office If Trump Is Elected,FALSE
411,Is This a Flyer for an 'End the Lockdown Rally'?,TRUE
412,Radiohead Fans Left Red-Faced After Applauding Tuning Session?,FALSE
413,Did a Tentacled Creature Appear in a Tornado?,FALSE
414,Was Sasha Obama Murdered in a Drive-By Shooting?,FALSE
415,Is This a Photograph of a Rainbow Owl?,FALSE
416,Did Obama Urge US Pandemic Preparedness in 2014?,TRUE
417,Bearing the Flag,FALSE
418,Did Instagram Model Kristyna Martelli Die in Surgery?,Mixture
419,"Maryland Refusing Electoral College, Hillary Given Presidency As More States Follow?",FALSE
420,Attempted Tomato Assassination of George Washington,FALSE
